                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0403,                0.83982,                      1,                0.94235,             0.00023792,             0.00023792,             0.00023792
                      2,                0.48751,                0.89321,                      1,                 0.8576,             0.00046649,             0.00046649,             0.00046649
                      3,                0.30765,                0.91152,                      1,                0.84875,             0.00068565,             0.00068565,             0.00068565
                      4,                0.26016,                0.94584,                      1,                0.81913,             0.00067159,             0.00067159,             0.00067159
                      5,                0.22851,                0.93364,                      1,                 0.8253,             0.00065745,             0.00065745,             0.00065745
                      6,                0.19064,                0.94661,                      1,                0.81137,             0.00064331,             0.00064331,             0.00064331
                      7,                0.18228,                0.95347,                      1,                0.80366,             0.00062918,             0.00062918,             0.00062918
                      8,                0.15319,                0.95423,                      1,                0.79753,             0.00061504,             0.00061504,             0.00061504
                      9,                0.14316,                0.96262,                      1,                0.78863,              0.0006009,              0.0006009,              0.0006009
                     10,                0.13011,                0.96034,                      1,                0.78961,             0.00058677,             0.00058677,             0.00058677
                     11,                0.12665,                0.97025,                      1,                0.78096,             0.00057263,             0.00057263,             0.00057263
                     12,                0.11793,                 0.9733,                      1,                0.77833,             0.00055849,             0.00055849,             0.00055849
                     13,                0.12155,                0.97178,                      1,                0.77996,             0.00054435,             0.00054435,             0.00054435
                     14,                0.09248,                 0.9733,                      1,                0.77483,             0.00053022,             0.00053022,             0.00053022
                     15,                0.10472,                0.97635,                      1,                  0.771,             0.00051608,             0.00051608,             0.00051608
                     16,                0.09279,                0.97864,                      1,                0.77111,             0.00050194,             0.00050194,             0.00050194
                     17,                0.09086,                0.97788,                      1,                0.77029,              0.0004878,              0.0004878,              0.0004878
                     18,                0.08654,                 0.9733,                      1,                0.77192,             0.00047367,             0.00047367,             0.00047367
                     19,                 0.0777,                0.97864,                      1,                0.76927,             0.00045953,             0.00045953,             0.00045953
                     20,                0.06721,                0.97864,                      1,                 0.7702,             0.00044539,             0.00044539,             0.00044539
                     21,                0.06985,                0.97635,                      1,                0.77296,             0.00043126,             0.00043126,             0.00043126
                     22,                0.07206,                0.97407,                      1,                0.77031,             0.00041712,             0.00041712,             0.00041712
                     23,                0.08175,                0.98322,                      1,                0.76768,             0.00040298,             0.00040298,             0.00040298
                     24,                0.06844,                0.97864,                      1,                0.76836,             0.00038884,             0.00038884,             0.00038884
                     25,                0.06428,                0.98093,                      1,                0.76494,             0.00037471,             0.00037471,             0.00037471
                     26,                0.06657,                0.98169,                      1,                0.76628,             0.00036057,             0.00036057,             0.00036057
                     27,                0.06558,                0.98627,                      1,                0.76219,             0.00034643,             0.00034643,             0.00034643
                     28,                0.05298,                0.97788,                      1,                0.77077,              0.0003323,              0.0003323,              0.0003323
                     29,                0.05719,                 0.9878,                      1,                0.75907,             0.00031816,             0.00031816,             0.00031816
                     30,                0.05699,                0.98856,                      1,                0.75758,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.0466,                0.98093,                      1,                0.76379,             0.00028988,             0.00028988,             0.00028988
                     32,                0.05228,                0.98932,                      1,                0.75737,             0.00027575,             0.00027575,             0.00027575
                     33,                 0.0485,                0.98932,                      1,                0.75697,             0.00026161,             0.00026161,             0.00026161
                     34,                0.04846,                0.99161,                      1,                0.75746,             0.00024747,             0.00024747,             0.00024747
                     35,                 0.0491,                0.98856,                      1,                0.75892,             0.00023334,             0.00023334,             0.00023334
                     36,                0.04366,                0.98932,                      1,                0.75595,              0.0002192,              0.0002192,              0.0002192
                     37,                0.05201,                 0.9878,                      1,                0.75866,             0.00020506,             0.00020506,             0.00020506
                     38,                0.03532,                0.99085,                      1,                0.75578,             0.00019092,             0.00019092,             0.00019092
                     39,                0.03777,                0.99161,                      1,                0.75689,             0.00017679,             0.00017679,             0.00017679
                     40,                0.04333,                0.98703,                      1,                0.75847,             0.00016265,             0.00016265,             0.00016265
                     41,                0.04239,                0.99008,                      1,                0.75447,             0.00014851,             0.00014851,             0.00014851
                     42,                0.04558,                0.99085,                      1,                0.75524,             0.00013437,             0.00013437,             0.00013437
                     43,                 0.0348,                0.99008,                      1,                0.75675,             0.00012024,             0.00012024,             0.00012024
                     44,                0.03533,                0.99085,                      1,                0.75394,              0.0001061,              0.0001061,              0.0001061
                     45,                0.03577,                0.99237,                      1,                0.75394,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.03767,                0.99314,                      1,                0.75269,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.03352,                0.99237,                      1,                0.75258,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.03472,                0.99161,                      1,                0.75353,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.03738,                0.99161,                      1,                0.75222,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.03327,                0.99314,                      1,                0.75234,             2.1277e-05,             2.1277e-05,             2.1277e-05
